캐릭터,스킬,항목,변경전,변경후,패치버전
채찍,머리,5,,10,10.5
쇠사슬,머리,5,,10,10.5
승복,머리,5,,10,10.5
숲 (총 인벤토리,머리,224,,280),10.5
라이터,머리,20,,21,10.5
쌍안경,머리,5,,10,10.5
대나무,머리,5,,10,10.5
석궁,머리,5,,10,10.5
손도끼,머리,5,,10,10.5
녹슨 검,머리,5,,10,10.5
타이즈,머리,5,,10,10.5
나막신,머리,5,,10,10.5
공장 (총 인벤토리,머리,272,,340),10.5
손목시계,머리,14,,15,10.5
자전거 헬멧,머리,14,,15,10.5
탄창,머리,5,,10,10.5
목장갑,머리,5,,10,10.5
망치,머리,5,,10,10.5
면도칼,머리,5,,10,10.5
발터 PPK,머리,5,,10,10.5
페도로프 자동소총,머리,5,,10,10.5
손도끼,머리,5,,10,10.5
단창,머리,5,,10,10.5
가면,머리,5,,10,10.5
운동화,머리,5,,10,10.5
성당 (총 인벤토리,머리,232,,290),10.5
트럼프 카드,머리,12,,14,10.5
분필,머리,12,,13,10.5
단봉,머리,5,,10,10.5
채찍,머리,5,,10,10.5
면도칼,머리,5,,10,10.5
양궁,머리,5,,10,10.5
화승총,머리,5,,10,10.5
손도끼,머리,5,,10,10.5
녹슨 검,머리,5,,10,10.5
보급형 기타,머리,5,,10,10.5
렌즈,머리,5,,10,10.5
유리구슬,머리,5,,10,10.5
셔츠,머리,5,,10,10.5
학교 (총 인벤토리,머리,256,,320),10.5
바람막이,머리,5,,10,10.5
단봉,머리,5,,10,10.5
야구공,머리,5,,10,10.5
식칼,머리,5,,10,10.5
보급형 기타,머리,5,,10,10.5
유리구슬,머리,5,,10,10.5
가면,머리,5,,10,10.5
슬리퍼,머리,5,,10,10.5
2레벨 인퓨전 - 가시 덤불,,치유 효과 감소,30%,40%,10.5
2레벨 인퓨전 - 견고,,방해 효과 저항 증가,40%,50%,10.5
2레벨 인퓨전 - 둔감,,치명타 피해를 받았을 때 받는 치명타 피해 감소,40%,50%,10.5
2레벨 인퓨전 - 둔감,,쿨다운,7초,1초,10.5
2레벨 인퓨전 - 라이프 백,,보호막 획득량,500,800,10.5
2레벨 인퓨전 - 라이프 백,,보호막이 유지되는 동안 이동 속도 증가,6%,8%,10.5
2레벨 인퓨전 - 불굴,,보호막량 (캐릭터 레벨*40),,(캐릭터 레벨*50),10.5
2레벨 인퓨전 - 수집가,,소지한 크레딧,10개 당 입히는 피해량 2% 증가,소지한 크레딧 5개 당 입히는 피해량 1% 증가,10.5
2레벨 인퓨전 - 수집가,,최대 중첩 수,7,50,10.5
3레벨 인퓨전 - 기동 타격대,,추가 피해량,250,300,10.5
3레벨 인퓨전 - 기동 타격대,,이동 속도 감소,50%,99%,10.5
3레벨 인퓨전 - 기동 타격대,,이동 속도 감소 지속 시간,3초,1초,10.5
3레벨 인퓨전 - 고귀한 희생,,에어본 지속 시간,1.5초,2초,10.5
3레벨 인퓨전 - 발키리 드라이브,,발동 조건 체력,20% 이하,25% 이하,10.5
3레벨 인퓨전 - 소생,,쿨다운 상태일 때 공격력 증가,35,40,10.5
3레벨 인퓨전 - 소생,,쿨다운 상태일 때 스킬 증폭 증가,60,70,10.5
3레벨 인퓨전 - 소생,,쿨다운,85초,60초,10.5
3레벨 인퓨전 - 시너지,궁극기 사용 시,기본 스킬 쿨다운 감소,70%,90%,10.5
3레벨 인퓨전 - 잠꾸러기,,발동 조건: 적에게 피해를 입지 않은지,4초 후,3초 후,10.5
3레벨 인퓨전 - 잠꾸러기,,체력 회복량 매 초 마다 잃은 체력의,18%,20%,10.5
가넷,방망이 사용 시,입히는 피해량,90%,94%,10.5
나딘,석궁 사용 시,입히는 피해량,88%,90%,10.5
나딘,활 사용 시,입히는 피해량,92%,95%,10.5
니아,권총 사용 시,입히는 피해량,89%,94%,10.5
다니엘,단검 사용 시,입히는 피해량,96%,98%,10.5
데비&마를렌,양손검 사용 시,입히는 피해량,94%,96%,10.5
띠아,방망이 사용 시,입히는 피해량,96%,100%,10.5
레온,글러브 사용 시,입히는 피해량,94%,100%,10.5
레온,톤파 사용 시,입히는 피해량,96%,100%,10.5
루크,방망이 사용 시,입히는 피해량,98%,100%,10.5
리 다이린,쌍절곤 사용 시,입히는 피해량,100%,102%,10.5
마이,채찍 사용 시,입히는 피해량,100%,104%,10.5
마커스,도끼 사용 시,입히는 피해량,98%,100%,10.5
마커스,,받는 피해량,102%,100%,10.5
마커스,망치 사용 시,입히는 피해량,100%,102%,10.5
매그너스,망치 사용 시,입히는 피해량,98%,100%,10.5
매그너스,,받는 피해량,102%,100%,10.5
미르카,망치 사용 시,입히는 피해량,96%,98%,10.5
바바라,권총 사용 시,입히는 피해량,84%,88%,10.5
블레어,쌍검 사용 시,입히는 피해량,100%,102%,10.5
셀린,투척 사용 시,입히는 피해량,87%,90%,10.5
쇼이치,단검 사용 시,입히는 피해량,94%,96%,10.5
시셀라,암기 사용 시,입히는 피해량,86%,89%,10.5
시셀라,투척 사용 시,입히는 피해량,86%,89%,10.5
아델라,방망이 사용 시,입히는 피해량,98%,100%,10.5
아드리아나,투척 사용 시,입히는 피해량,90%,93%,10.5
아비게일,도끼 사용 시,입히는 피해량,94%,98%,10.5
아야,권총 사용 시,입히는 피해량,86%,89%,10.5
아야,돌격소총 사용 시,입히는 피해량,88%,92%,10.5
아야,저격총 사용 시,입히는 피해량,84%,87%,10.5
아이솔,돌격소총 사용 시,입히는 피해량,86%,90%,10.5
아이솔,권총 사용 시,입히는 피해량,86%,88%,10.5
얀,톤파 사용 시,입히는 피해량,100%,104%,10.5
에이든,양손검 사용 시,입히는 피해량,98%,100%,10.5
엘레나,레이피어 사용 시,입히는 피해량,105%,107%,10.5
엠마,아르카나 사용 시,입히는 피해량,96%,98%,10.5
윌리엄,투척 사용 시,입히는 피해량,88%,90%,10.5
유민,아르카나 사용 시,입히는 피해량,92%,96%,10.5
일레븐,망치 사용 시,입히는 피해량,96%,100%,10.5
일레븐,,주는 회복 효과,80%,100%,10.5
자히르,투척 사용 시,입히는 피해량,94%,96%,10.5
자히르,암기 사용 시,입히는 피해량,92%,94%,10.5
재키,단검 사용 시,입히는 피해량,94%,98%,10.5
재키,양손검 사용 시,입히는 피해량,94%,98%,10.5
재키,도끼 사용 시,입히는 피해량,100%,104%,10.5
재키,쌍검 사용 시,입히는 피해량,96%,100%,10.5
클로에,암기 사용 시,입히는 피해량,88%,90%,10.5
키아라,레이피어 사용 시,입히는 피해량,98%,102%,10.5
테오도르,저격총 사용 시,입히는 피해량,88%,92%,10.5
펜리르,글러브 사용 시,입히는 피해량,95%,100%,10.5
헤이즈,돌격소총 사용 시,입히는 피해량,88%,91%,10.5
헨리,암기 사용 시,입히는 피해량,92%,96%,10.5
현우,글러브 사용 시,입히는 피해량,96%,98%,10.5
히스이,양손검 사용 시,입히는 피해량,96%,100%,10.5
미스릴 퀴버,,공격력,35,30,10.4c
